instnm,sub_pref,course,course_title,academic_year
Texas A&M University-Kingsville,IEEN,4354,SYSTEM SAFETY ENGINEERING,2024
Texas A&M University-Kingsville,ITEN,3331,CONSTRUCTION TECHNOLOGY,2024
Texas A&M University-Kingsville,ITEN,3323,COST ESTIMATING,2024
Texas A&M University-Kingsville,ITEN,3310,FLUID POWER,2024
Texas A&M University-Kingsville,ITEN,3306,MANUFACTURING PROCESSES,2024
Texas A&M University-Kingsville,ITEN,2330,OSHA FOR GENERAL INDUSTRY,2024
Texas A&M University-Kingsville,ITEN,2322,MEASUREMENTS AND MATERIALS,2024
Texas A&M University-Kingsville,ITEN,2301,INDUSTRIAL ELECTRONICS,2024
Texas A&M University-Kingsville,ITEN,1315,INTRO TO MANUFACTURING PROCESS,2024
Texas A&M University-Kingsville,ITEN,1311,TECHNICAL CAD,2024
Texas A&M University-Kingsville,ISYS,3358,BUSINESS INFORMATION SYSTEMS,2024
Texas A&M University-Kingsville,ISYS,3330,INFO SYS AND BUS ANALYTICS,2024
Texas A&M University-Kingsville,ISYS,1301,PERSONAL COMPUTER APPLICATIONS,2024
Texas A&M University-Kingsville,INRW,300,INTEGRATED READING & WRITING,2024
Texas A&M University-Kingsville,IMEN,5333,HAZARDOUS MATERIALS MANAGEMENT,2024
Texas A&M University-Kingsville,IMEN,5330,SIX SIGMA QUAL AND IMPROVMNT,2024
Texas A&M University-Kingsville,IEEN,3310,APPL. METH. IN ENGR. STAT. II,2024
Texas A&M University-Kingsville,IEEN,2310,APPL. METH. IN ENGR. STAT. I,2024
Texas A&M University-Kingsville,HMNT,4368,ADVANCED NUTRITION II,2024
Texas A&M University-Kingsville,HMNT,4351,FOODS AND NUTRITION I,2024
Texas A&M University-Kingsville,HIST,1302,AMERICAN HISTORY SINCE 1877,2024
Texas A&M University-Kingsville,HIST,1301,AMERICAN HISTORY TO 1877,2024
Texas A&M University-Kingsville,ITEN,4332,HAZARDOUS WASTE AND FIRE SAFE,2024
Texas A&M University-Kingsville,HMNT,3363,MEDICAL NUTRITION THERAPY II,2024
Texas A&M University-Kingsville,HMNT,3350,NUTRITION THROUGH LIFE CYCLE,2024
Texas A&M University-Kingsville,HMNT,2350,INTRODUCTORY NUTRITION,2024
Texas A&M University-Kingsville,HMNT,1350,FOOD PREP. AND MEAL MGT.,2024
Texas A&M University-Kingsville,HIST,4396,CRUCIAL TOP NON-WEST HISTORY,2024
